Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0923853792884743	0.00558263179864444	0.00293358366580615
ctrx_quarter_normalizado_max3	0.0905261002041663	0.00339877011267729	0.00249354611593523
financiamiento_total_saldo_total_avg3	0.0348795902025872	0.00361357469043842	0.00214151607603849
ctrx_quarter_normalizado_min3	0.0292628348578667	0.00507578687664306	0.00234686693264492
cpayroll_trx	0.0234101339361229	0.00377808083405207	0.00126144097629664
mconsumo_tarjeta_total_rank	0.0227280687488055	0.00393015425656343	0.00325627786904483
vm_status01_tend3	0.0212751378044636	0.00108358059204007	0.000264022529922553
mcuentas_saldo_rank	0.0178202365709717	0.00402913911796072	0.00448838300868341
mpayroll_sobre_edad_rank	0.0167156522778845	0.00677805005661425	0.0022881952593288
mpasivos_margen_rank	0.0130655996328991	0.00265186338424713	0.00208284440272237
mprestamos_rank	0.00943572766254221	0.00319786923819393	0.00111476179300634
ctrx_quarter_normalizado_ratioavg3	0.00886972198055868	0.00250637510308568	0.00381365876554799
mpayroll_rank_ratioavg3	0.00744394219434013	0.00536049324516036	0.00196550105609012
mfinanciamiento_corto_rank	0.0074299459454172	0.00107443146940366	0.00161347101619338
cpayroll_trx_min3	0.00727854575544204	0.0039422543157599	0.000821403426425722
mvolumen_total_rank	0.00695440018335213	0.00245702910344032	0.00196550105609012
foto_mes	0.00689213698730731	0.0133317470344987	0.00299225533912227
ctarjeta_visa_transacciones	0.0066868289588253	0.00138933668328075	0.00193616521943206
mprestamos_personales_rank	0.00647728089881604	0.00154330922338027	0.00111476179300634
mpayroll_rank	0.00616487217726407	0.00699869715288161	0.00272823280919972
ccomisiones_mantenimiento_delta2	0.00539396804755477	0.000875865669846999	0.000381365876554799
cdescubierto_preacordado_delta3	0.00536277695134606	0.00752296909564868	0.000968082609716029
ccomisiones_mantenimiento_delta3	0.00513191030902972	0.00161468383676508	0.000762731753109599
mprestamos_personales_rank_ratioavg3	0.00507855560029959	0.00967873097306699	0.0020535085660643
mrentabilidad_annual_rank_lag3	0.00473763068031797	0.00349270062962735	0.00525111476179301
mfinanciamiento_total_rank	0.00449291263945494	0.00169711106145068	0.00222952358601267
cproductos_delta2	0.00433622733998888	0.00104905852224458	0.000616052569819291
mcomisiones_mantenimiento_rank_max3	0.00431960665719098	0.00213224203651879	0.00208284440272237
mprestamos_personales_rank_min3	0.00431105485902917	0.00114213736950217	0.000498709223187045
ctarjeta_visa_transacciones_ratioavg3	0.00399603177411996	0.00688617184764587	0.00419502464210279
cdescubierto_preacordado_min3	0.00387191241911309	0.00158802349263164	0.000704060079793476
vm_mpagominimo_rank	0.00360171470089472	0.00297310090722345	0.00178948603614175
mcomisiones_otras_rank_lag3	0.00346172762204699	0.00151175787501615	0.00278690448251584
mcuentas_saldo_rank_ratioavg3	0.00345828092677689	0.0037276830154348	0.00513377141516076
vm_status06_delta3	0.00336943838590596	0.00045917281449066	0.000176015019948369
mvolumen_total_rank_delta3	0.00328816345790629	0.00171747268475477	0.00305092701243839
mcuentas_saldo_rank_delta3	0.00319522951237718	0.00228647937181443	0.00522177892513495
mactivos_margen_rank_lag2	0.0031211787632642	0.00169048312956516	0.00275756864585778
mcuentas_saldo_rank_tend3	0.00301099418205196	0.0013843357119747	0.0028162403191739
vm_status01_max3	0.00298457198174525	0.00133883533917412	0.000557380896503168
ctrx_quarter_ratioavg3	0.00294943539074004	0.00212399266541325	0.00384299460220606
mpasivos_margen_rank_max3	0.00291632543442956	0.00161651485758691	0.0024348744426191
msaldo_total_rank	0.00290965864477415	0.00139375791184638	0.00149612766956114
mprestamos_personales_rank_delta2	0.0028143421098179	0.00140543926795255	0.000645388406477353
mfinanciamiento_total_rank_lag1	0.00274324996714227	0.00256504299790636	0.00225885942267073
mrentabilidad_annual_rank_delta2	0.00260230593521042	0.00183261718487133	0.00481107721192208
mprestamos_rank_delta3	0.002521405449625	0.00219482779597016	0.000880075099741845
mtarjeta_visa_consumo_rank	0.00251375897567488	0.00368827753327785	0.00290424782914809
vm_msaldopesos_rank	0.00247785366275149	0.00119391805860065	0.00149612766956114
cliente_edad_lag3	0.00247551053768947	0.00436047244665949	0.00569115231166393
mcuentas_saldo_rank_delta1	0.00244652188715728	0.00225599870706694	0.0043417038253931
mprestamos_personales_rank_lag3	0.00241756245553636	0.00174640483823807	0.000498709223187045
mrentabilidad_annual_rank_lag1	0.00241473938744487	0.00293020408545197	0.00346162872565126
mactivos_margen_rank_delta3	0.00233438798431708	0.00450953051675074	0.00498709223187045
mdescubierto_rank	0.00230941838585417	0.00373887596128783	0.00390166627552218
mrentabilidad_annual_rank_delta3	0.00229785441327199	0.00218944309018355	0.00437103966205116
ctarjeta_visa_transacciones_delta3	0.00225587851552569	0.00151187083282787	0.00176015019948369
mactivos_margen_rank_min3	0.0022497852999196	0.00399291623940336	0.00354963623562544
Visa_msaldopesos_rank	0.00224398953836672	0.0013688811968663	0.00208284440272237
mcomisiones_otras_rank_delta3	0.00223954176816367	0.000666852538017347	0.00214151607603849
cliente_edad	0.00217157631779318	0.00300608665875683	0.00442971133536728
mrentabilidad_annual_rank_max3	0.00215582903888894	0.00164527561887115	0.00287491199249003
mcuentas_saldo_rank_delta2	0.00207748800834454	0.00310964182542443	0.00407768129547055
antiguedad_relativa	0.00206423593585045	0.00290082654230778	0.00442971133536728
mactivos_margen_rank	0.00204120127336701	0.00470825206465473	0.00272823280919972
thomebanking_ratioavg3	0.00198708509821899	0.00272144355581636	0.00146679183290307
mrentabilidad_annual_rank_lag2	0.00196492270134585	0.00205889790821306	0.00316827035907064
mrentabilidad_annual_rank_delta1	0.0019559351979864	0.00170995811456705	0.00363764374559962
ccomisiones_mantenimiento_delta1	0.00193724304890633	0.00155782533744178	0.000469373386528984
mactivos_margen_rank_ratioavg3	0.00192506247229255	0.00201930907091161	0.00407768129547055
