Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.205150277038405	0.0120490286629806	0.00425898572131955
mfinanciamiento_total_rank	0.0293622739646384	0.00754013031977515	0.00489906450024618
cpayroll_trx	0.0253274178820046	0.00881139525973433	0.00305268340718858
mconsumo_tarjeta_total_rank	0.0247583932389792	0.0072479464321589	0.00875184638109306
mpayroll_sobre_edad_rank	0.0186325197594835	0.0151961526808417	0.0059699655342196
ctrx_quarter_normalizado_min3	0.018387634537297	0.00807083144957787	0.00478828163466273
mvolumen_total_rank	0.016943402398421	0.00398750813278569	0.00233874938453964
ctrx_quarter	0.0165141999814059	0.00697460738428594	0.00552683407188577
financiamiento_total_saldo_total	0.0139844835900386	0.00163919837203918	0.00194485475135401
vm_status06	0.0138569808727581	0.00079179253076496	0.000332348596750369
mcuentas_saldo_rank	0.0129199573008158	0.00601651414725318	0.00904726735598227
mprestamos_personales_rank_ratioavg3	0.0126457489543872	0.00946197981952637	0.00215411127523388
foto_mes	0.011997037457757	0.0107523824209805	0.00675775480059084
ccomisiones_mantenimiento_delta3	0.0110896825133907	0.00269110055792005	0.00161250615460364
cpayroll_trx_min3	0.00933761650479714	0.00869617434887769	0.00119399310684392
mprestamos_rank	0.00671016552714615	0.00586305001935826	0.0017971442639094
cproductos_ratioavg3	0.00609783812396813	0.00641711557852938	0.00247415066469719
mpasivos_margen_rank_max3	0.00544656194071562	0.00214230849800938	0.00290497291974397
cdescubierto_preacordado	0.00486532245540364	0.00234788464700139	0.000812407680945347
ctarjeta_visa_transacciones_ratioavg3	0.00484264980321507	0.011026682713309	0.00745937961595273
cdescubierto_preacordado_delta3	0.00453514458293595	0.00817488045631287	0.000910881339241753
vm_status01	0.00414737756276074	0.000719185888193033	0.000418513047759724
mrentabilidad_annual_rank_lag3	0.00387256142441672	0.00344113272266813	0.00534219596258001
mcaja_ahorro_rank	0.00364686917825898	0.00164171250014328	0.00331117676021664
mcuentas_saldo_rank_delta3	0.0036391430154072	0.00289593111387866	0.00459133431806992
mcuentas_saldo_rank_ratioavg3	0.00355039133964962	0.00258086670708066	0.00462826193993107
mcuentas_saldo_rank_min3	0.00348573332467975	0.00423490383105483	0.00834564254062038
ctrx_quarter_normalizado_ratioavg3	0.00331329895519325	0.00450669134914463	0.00496061053668144
mtarjeta_visa_consumo_rank	0.00330719271309185	0.00653998563565799	0.00569916297390448
ccajas_transacciones_ratioavg3	0.003251363978569	0.00161544518988292	0.00142786804529788
mfinanciamiento_corto_rank	0.00314129497901007	0.002249874653723	0.0025233874938454
mrentabilidad_annual_rank_delta1	0.003132279867951	0.00193204120530131	0.00381585425898572
mcomisiones_otras_rank_lag3	0.00311416359355418	0.00215124033507188	0.00425898572131955
mprestamos_personales_rank_min3	0.00311234258772921	0.000600864045272913	0.000492368291482029
mcomisiones_mantenimiento_rank_delta3	0.0030855653113671	0.00266138746673019	0.00270802560315116
mrentabilidad_annual_rank_lag2	0.00308395178057467	0.00236349645609709	0.00358197932053176
mcuentas_saldo_rank_avg3	0.00291060164777068	0.00315771956212817	0.0025726243229936
mrentabilidad_annual_rank_delta3	0.0028790216690633	0.0020167367057099	0.00398818316100443
financiamiento_corto_saldo_total	0.00287387030272404	0.00125236942696691	0.00180945347119646
