Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_max3	0.0875700816808277	0.00397651782199301	0.00233351283432059
ctrx_quarter_normalizado	0.0451653076708029	0.00460335215184887	0.00303157222920282
financiamiento_total_saldo_total_avg3	0.0356822898043074	0.00301272269171811	0.00171523165599633
vm_status01_tend3	0.0251639142487249	0.000710640929900682	0.000299168312092383
ctrx_quarter	0.020835676591585	0.00393683566257331	0.00321107321645825
mconsumo_tarjeta_total_rank	0.0189265546158871	0.00394560960217436	0.00301162767506332
mpayroll_sobre_edad_rank	0.0167939075948618	0.00583105050448939	0.00193462175153074
mpasivos_margen_rank	0.0158877308278486	0.00349629407301446	0.00271245936297094
mcuentas_saldo_rank	0.0143980741690399	0.00454012945851216	0.00500608308901255
ctrx_quarter_normalizado_min3	0.0129946407072281	0.00488975274537403	0.00269251480883145
ctrx_quarter_normalizado_ratioavg3	0.00913206692370593	0.00266338495644554	0.00357007519096911
cpayroll_trx	0.00822023756158676	0.00235981239449985	0.00089750493627715
mpayroll_rank	0.00814756925813334	0.00503541321071704	0.00173517621013582
mprestamos_rank	0.00746287642356432	0.00371392511807275	0.000817726719719181
ccomisiones_mantenimiento_ratioavg3	0.0073596674045657	0.00231579133967825	0.00137617423562496
mpayroll_rank_ratioavg3	0.00727747273224819	0.00807151680867153	0.00247312471329703
cpayroll_trx_avg3	0.00643274694152908	0.00209861126349489	0.000917449490416642
foto_mes	0.00614238892704302	0.0126783727054015	0.00251301382157602
mcaja_ahorro_rank	0.00553515564211758	0.00346036399117589	0.00245318015915754
cdescubierto_preacordado_delta3	0.00505990469221497	0.00465105849702255	0.000558447515905782
mcomisiones_mantenimiento_rank_max3	0.00505353709078073	0.00196175720089524	0.0020542890763677
mprestamos_personales_rank_min3	0.00457861441449345	0.000750342939394665	0.000518558407626798
mprestamos_personales_rank	0.00453880127088277	0.00166348192075002	0.000777837611440196
mfinanciamiento_corto_rank	0.00426291469840311	0.00264845583964646	0.00219390095534414
ctarjeta_visa_transacciones_ratioavg3	0.00415018762373582	0.00510131214896353	0.00418835636929336
mrentabilidad_annual_rank_lag3	0.00390393974518095	0.00384603439260592	0.00420830092343286
mprestamos_personales_rank_delta2	0.00388490858284132	0.00109818468209038	0.000638225732463751
mtarjeta_visa_consumo_rank	0.0038734908012189	0.00278783995962971	0.00259279203813399
mrentabilidad_annual_rank_max3	0.00371633747953565	0.00167066309866213	0.00267257025469196
mvolumen_total_rank	0.00359450488874402	0.00198159156052786	0.00185484353497278
Visa_msaldopesos_rank	0.00344555958909476	0.00178863891354006	0.00203434452222821
mcomisiones_otras_rank_lag3	0.00334333147785078	0.00169614831954325	0.00323101777059774
mcuentas_saldo_rank_delta3	0.0033368173600368	0.00220024984692987	0.0043479128024093
cpayroll_trx_min3	0.00333191215616164	0.00264010516152499	0.000638225732463751
mprestamos_personales_rank_lag3	0.00328539048093431	0.00113380688100608	0.000478669299347813
ctarjeta_visa_transacciones	0.00318347962545652	0.00164955109726968	0.00227367917190211
cproductos_delta1	0.00318310912939469	0.000307980932607537	0.00017950098725543
mrentabilidad_annual_rank_delta3	0.00305378049860904	0.00261737827388164	0.00462713656036219
numero_de_cliente	0.00302228579313994	0.00498314734483678	0.00552464149663934
mcaja_ahorro_total_rank	0.00297969715953244	0.00124679288346319	0.00211412273878617
cliente_edad_lag3	0.00292061258849066	0.00379057969500205	0.00502602764315204
mcuentas_saldo_rank_ratioavg3	0.00282998558605988	0.00371301387560057	0.00452741378966473
mactivos_margen_rank_delta3	0.00282261770547251	0.00410057954558062	0.00490636031831508
vm_mpagominimo_rank	0.00281488771189663	0.00198564180276634	0.00189473264325176
mrentabilidad_annual_rank_delta1	0.0027998088788773	0.00259543132874	0.00400885538203793
mcomisiones_rank_delta3	0.00278466609990242	0.00104277919612899	0.00239334649673907
vm_msaldopesos_rank	0.00278419168406449	0.00146157895798038	0.00173517621013582
cdescubierto_preacordado_min3	0.00275060322410715	0.00169989564137743	0.000518558407626798
mcuentas_saldo_rank_delta1	0.00275007768405085	0.00286947194268341	0.00480663754761762
mcaja_ahorro_rank_ratioavg3	0.00274052687853635	0.00228341318050523	0.00386924350306149
mactivos_margen_rank_lag2	0.00270857955999516	0.00171396748309377	0.00271245936297094
mactivos_margen_rank_ratioavg3	0.00266636701023171	0.00258276160529092	0.00452741378966473
mfinanciamiento_total_rank_lag1	0.00265322389569008	0.00190772199037363	0.00169528710185684
prestamos_caja_ahorro	0.00264581590232234	0.00336115352672225	0.0012764514649275
vm_status06_delta3	0.00262582760739156	0.000556607248331044	9.97227706974611e-05
