Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_max3	0.0631964774720981	0.00365027036093675	0.00219649568257615
ctrx_quarter_normalizado	0.0608116973151374	0.00425365891561183	0.0033854245382825
ctrx_quarter_normalizado_min3	0.0278467204276342	0.00693894147844211	0.00359701357192516
ctrx_quarter	0.0265658168838315	0.00472357473678978	0.00345595421616339
financiamiento_total_saldo_total_avg3	0.0216903814087978	0.00170363962290632	0.00124938286531854
mconsumo_tarjeta_total_rank	0.0188040418685012	0.00326089499855227	0.00449374804783927
mcuentas_saldo_rank	0.0165907528472881	0.00478755356440664	0.00491692611512459
vm_status01_tend3	0.0136022423823247	0.000537613169882486	0.00024181603844875
cpayroll_trx	0.0119124250527685	0.00269806136834153	0.00123930719704984
mpayroll_sobre_edad_rank	0.0109297577789258	0.00504985526735561	0.00236778204314401
mpasivos_margen_rank	0.00958197575514	0.00201929350176551	0.00306300315368417
ccomisiones_mantenimiento_ratioavg3	0.00778454680863846	0.00402264664168077	0.00135013954800552
mpayroll_rank	0.00752668690993335	0.00672386008720045	0.00191437697105261
mprestamos_rank	0.0068489688725584	0.00294428295586601	0.000816129129764532
mvolumen_total_rank	0.00676266954329715	0.00201591571808157	0.00218642001430745
vm_status04_delta3	0.00600062323979078	0.000374466563809539	0.000141059355761771
mpayroll_rank_ratioavg3	0.00585186945075901	0.00615545975572865	0.00224687402391964
mcuentas_saldo_rank_lag2	0.00576939187588873	0.00175761537388474	0.00271035476427974
cpayroll_trx_min3	0.00557999411671759	0.00362753100691416	0.00072544811534625
mprestamos_personales_rank	0.00551273744309506	0.00115094139329568	0.000614615764390573
foto_mes	0.00542944207178572	0.0118045942334315	0.0024383117210249
cpayroll_trx_avg3	0.0052052852830224	0.00269462914353105	0.00118892885570635
cdescubierto_preacordado_delta3	0.0046071311506719	0.00643284305979303	0.000584388759584479
mprestamos_personales_rank_ratioavg3	0.00415060215009159	0.00647129553199886	0.0014508962306925
mfinanciamiento_corto_rank	0.00401449794499039	0.00118822882539361	0.00205543632681438
ctarjeta_visa_transacciones_ratioavg3	0.00399102007353254	0.00497126905285969	0.00377837560076172
mcomisiones_otras_rank_lag3	0.00378318741471195	0.00222966810535187	0.00354663523058167
mrentabilidad_annual_rank_lag3	0.00369263980014695	0.00287223454423181	0.00396981329786698
mfinanciamiento_total_rank	0.00365561459280383	0.00270541437903687	0.00256929540851797
ctrx_quarter_normalizado_ratioavg3	0.0035969389313081	0.00233717459913556	0.00355671089885037
cdescubierto_preacordado_min3	0.00354773111202311	0.000840127010343765	0.000382875394210521
ccomisiones_mantenimiento_delta3	0.00344181907349908	0.00174006419517281	0.000765750788421042
mcomisiones_mantenimiento_rank_max3	0.0034329762354282	0.00208702261846859	0.0019244526393213
ctarjeta_visa_transacciones	0.00337918362526891	0.00221216983060526	0.00228717669699443
mprestamos_personales_rank_lag3	0.00334046671270932	0.00134093964394472	0.000604540096121875
vm_msaldopesos_rank	0.00333175857712105	0.00117378412141031	0.0019446039758587
mcaja_ahorro_rank	0.00321588477806669	0.00188974001699203	0.00317383550463985
mvolumen_total_rank_delta3	0.00319588293742035	0.00158002649766709	0.00254914407198057
mrentabilidad_annual_rank_delta3	0.00317702188402076	0.00250628679980613	0.00424185634112182
mcuentas_saldo_rank_ratioavg3	0.00316646797281794	0.00367229442260502	0.00464488307186974
mcuentas_saldo_rank_delta3	0.00316408521488481	0.00182065576457685	0.00392951062479219
mprestamos_personales_rank_delta2	0.00312058576170679	0.000848508638088748	0.000342572721135729
mtarjeta_visa_consumo_rank	0.00311368901408953	0.00259285357106541	0.0033753488700138
mrentabilidad_annual_rank_delta2	0.00302758534429858	0.00266038862116448	0.00440306703342099
cliente_edad_lag3	0.00302267911900676	0.00415039280914998	0.00475571542282542
mprestamos_personales_rank_min3	0.0030095239945958	0.000712065468630949	0.000403026730747917
mcuentas_saldo_rank_delta1	0.00300330408858362	0.00255387193110963	0.00440306703342099
ctrx_quarter_ratioavg3	0.00293753695388683	0.00277914687888422	0.0038892079517174
mcaja_ahorro_rank_ratioavg3	0.00293461371955721	0.00244179635369659	0.00374814859595563
ctrx_quarter_delta3	0.0028517459465016	0.00356429706200511	0.00405041864401656
numero_de_cliente	0.00284834035792681	0.00486843347963617	0.00464488307186974
mactivos_margen_rank_ratioavg3	0.00279349862430793	0.00232457641006765	0.00443329403822709
mactivos_margen_rank_delta3	0.00279126180762278	0.00382900211652138	0.00456427772572016
mrentabilidad_annual_rank_lag2	0.00272917638297637	0.00214244816867091	0.00401011597094177
mpasivos_margen_rank_max3	0.00270809839030074	0.00187005115941031	0.00201513365373958
vm_mpagominimo_rank	0.00260295060723514	0.00114946917713733	0.00188414996624651
vmr_msaldopesos2	0.00260282428438667	0.00169195373902241	0.00231740370180052
chomebanking_transacciones_ratioavg3	0.00257965254217043	0.00204993796355492	0.00453405072091407
Master_mfinanciacion_limite_rank_delta3	0.00252643288841562	0.0032740127481125	0.00458442906225755
mcuentas_saldo_rank_delta2	0.00248069310588216	0.00303630255035931	0.00383882961037391
mactivos_margen_rank	0.00241619004947852	0.00285475343445216	0.0024282360527562
mrentabilidad_annual_rank_delta1	0.00240721625521785	0.00190691074830203	0.0034156515430886
Master_Fvencimiento_avg3	0.00236871510279884	0.00247959143328739	0.00376829993249302
Master_fechaalta_lag1	0.00234519163570386	0.00189738905931896	0.00373807292768693
cproductos_delta2	0.00233711503601251	0.000530403627567668	0.000231740370180052
ccomisiones_mantenimiento_delta2	0.00233155511601147	0.000451941666937019	0.00029219437979224
mactivos_margen_rank_min3	0.00232736329183832	0.00376192180994987	0.00269020342774235
Master_Fvencimiento_lag3	0.00227169619039166	0.00323583901447454	0.00330481919213292
mpasivos_margen_rank_ratioavg3	0.00225947307636961	0.00207070859834514	0.00329474352386422
mcomisiones_rank_delta2	0.00225237397286761	0.00157591151708145	0.0028917167931163
mtransferencias_recibidas_rank_ratioavg3	0.00224923827123087	0.00200787969541753	0.00420155366804703
Visa_msaldopesos_rank	0.00222835157661741	0.00117692262033101	0.00186399862970912
