fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 035945	-1.65620755146039	1229.88969502651	283.964255048114	19	5	21250666.6666667	77
20220911 040235	-1.99998023564319	1264.61321507332	272.845218656194	10	5	21309333.3333333	78
20220911 040612	-1.80119445752143	1236.63982607291	276.212499270148	17	5	21341333.3333333	79
20220911 040950	-1.7547420615604	1252.28918016755	276.887644654516	18	5	21357333.3333333	80
20220911 041328	-1.83426987143101	1248.78586325801	272.904385172111	18	5	21306666.6666667	81
20220911 041630	-1.95341188762192	1168.77872128942	260.567523548768	11	5	21296000	82
20220911 041926	-1.99963557471461	2003.1298814064	999.655930852493	18	5	18781333.3333333	83
20220911 042152	-1.98529598787659	1197.48827427334	278.852548973884	8	5	21298666.6666667	84
20220911 042526	-1.58396302127384	1249.41204579755	272.293443578986	16	5	21306666.6666667	85
20220911 042836	-1.28822575539553	1211.6133946339	274.554140440751	12	5	21360000	86
20220911 043207	-1.88636591535725	1201.6816618459	268.029784108987	15	5	21234666.6666667	87
20220911 043528	-1.55263119290412	1224.45757343183	273.039212764146	13	5	21357333.3333333	88
20220911 043839	-1.56421896160055	1216.24331735783	267.700012963218	12	5	21221333.3333333	89
20220911 044205	-1.78341764600804	1251.28722853741	273.672045950873	14	5	21338666.6666667	90
20220911 044523	-1.95501289721489	1213.15318521851	275.622923581589	13	5	21360000	91
20220911 044857	-1.72122003776271	1249.25066649793	273.194029374238	16	5	21338666.6666667	92
20220911 045222	-1.5520798236497	1304.7821195494	276.306896945462	14	5	21245333.3333333	93
20220911 045541	-1.77254115432722	1197.90790338081	273.021748901642	13	5	21370666.6666667	94
20220911 045901	-1.50784964815416	1178.93035714356	274.227022814757	13	5	21354666.6666667	95
20220911 050229	-0.345177753427237	4998.36854723957	100.529704730119	16	5	17338666.6666667	96
20220911 050343	-1.29494397883532	3595.25392238047	999.451357906234	3	5	18378666.6666667	97
20220911 050702	-1.45895837853802	1184.56066009887	273.366858502337	13	5	21344000	98
20220911 051022	-1.82722843414427	1204.2220861594	271.007071761134	13	5	21344000	99
20220911 051339	-0.575618409192961	1227.96945162855	341.418723802922	13	5	20824000	100
20220911 051658	-1.28143318618816	1201.19773102988	274.579102199108	13	5	21376000	101
20220911 051937	-1.97317258313816	1112.27145231004	285.957041434986	9	5	21197333.3333333	102
20220911 052311	-1.77720199400068	1249.57810707745	271.257488638799	16	5	21312000	103
20220911 052537	-1.45428335841929	1180.75884117319	275.704611353055	8	5	21317333.3333333	104
20220911 052915	-1.60876464864099	1212.65980796242	273.961553039546	18	5	21357333.3333333	105
20220911 053254	-1.71541293182975	1230.90774374661	268.708207737835	18	5	21218666.6666667	106
20220911 053630	-0.820361785223724	1283.97773489727	279.252474023366	17	5	21325333.3333333	107
20220911 053949	-1.62138542731501	1229.88881900704	279.317910659828	13	5	21269333.3333333	108
20220911 054324	-0.746117653256	1276.92897373975	278.748143589179	17	5	21264000	109
20220911 054621	-0.828733763701499	2006.86921810173	999.450605154337	20	5	18797333.3333333	110
20220911 054939	-1.74509423240644	1225.64149417983	276.665595817738	13	5	21378666.6666667	111
20220911 055121	-0.873368077789203	3085.50502731455	605.269210157942	5	5	18786666.6666667	112
20220911 055455	-1.61055612805758	1140.64778064997	291.873049880499	17	5	21154666.6666667	113
20220911 055758	-1.99882311535163	1211.62378092015	217.396212464929	11	5	21125333.3333333	114
20220911 060056	-1.28031193049642	2425.01478558694	790.555372800774	18	5	19045333.3333333	115
20220911 060356	-1.99316874039643	1199.49636056299	379.644502861866	11	5	20752000	116
