Feature	Gain	Cover	Frequency
azar_sampling	0.284790250422649	0.0159979644310366	0.00519016421339233
rf_016_027	0.0754675678775311	0.000874782133122099	0.000425423296179699
azar_under	0.058127423330418	0.0131192341715812	0.00340338636943759
ctrx_quarter_min6	0.0470241507000318	0.00171386834219263	0.000680677273887518
vm_status06_ratioavg6	0.0327584530912548	0.000661753216605596	0.00017016931847188
ctrx_quarter	0.0168136159208973	0.00222014120189834	0.000680677273887518
ctrx_quarter_normalizado_lag1	0.0149694832348187	0.000585544345861022	0.000425423296179699
mpayroll_sobre_edad_rank	0.0144554305550608	0.00510663250829612	0.00212711648089849
mcuenta_corriente_rank	0.0142155189229233	0.00045274305632264	0.00187186250319067
ctrx_quarter_normalizado	0.0131135014912419	0.00296342728888435	0.0012762698885391
mcaja_ahorro_rank	0.0102234617618454	0.00133676640167636	0.00238237045860631
vm_status06_ratiomax6	0.0101525144815178	1.29894324959265e-05	8.50846592359398e-05
ctrx_quarter_ratiomax6	0.00970634403670241	0.0016925552961772	0.00280779375478601
mpasivos_margen_rank	0.00887983304685858	0.00147133692233416	0.00280779375478601
mprestamos_personales_rank_ratioavg6	0.00880226456594009	0.00467370528522761	0.00382880966561729
cpayroll_trx	0.00796636110329262	0.00258421516780798	0.000850846592359398
cdescubierto_preacordado_tend6	0.00795489474591246	0.000507017760114179	0.000340338636943759
Visa_msaldototal_rank	0.00735655404618217	0.000562465033503923	0.00144643920701098
vm_status04_max6	0.00658797139277975	1.74336343359022e-05	0.00017016931847188
ctarjeta_visa_transacciones_ratioavg6	0.00632519079370194	0.00461225730168169	0.00357355568790947
mcuentas_saldo_rank	0.00617280998181401	0.00309489739321517	0.00306304773249383
ccomisiones_mantenimiento_ratioavg6	0.00531124788419637	0.00244342824941305	0.00195694716242661
ctrx_quarter_ratioavg6	0.00481900184724185	0.00107294046566338	0.00153152386624692
mtarjeta_visa_consumo_rank_ratioavg6	0.00443945658507466	0.00196268064370418	0.00229728579937037
ctrx_quarter_normalizado_min6	0.00408844239969032	0.000695022470072766	0.000850846592359398
mprestamos_personales_rank	0.00390965862016506	0.00226002265093162	0.00153152386624692
Visa_mconsumospesos_rank	0.00326573025000641	0.000382585296955912	0.000850846592359398
cprestamos_personales_delta3	0.00318503571253888	0.000397223887072576	0.000425423296179699
cpayroll_trx_ratiomax6	0.002964162089881	0.00208712348358456	0.00110610057006722
mtarjeta_visa_consumo_rank	0.0029641287373469	0.00114451316520898	0.000595592614651578
foto_mes	0.0028747436723823	0.00303504816606831	0.00459457159874075
mprestamos_personales_rank_ratiomax6	0.00277637808762231	0.00317584694357423	0.00238237045860631
rf_004_029	0.00275190522043633	0.000628138566531117	0.000340338636943759
mprestamos_personales_rank_lag3	0.00250934526432543	0.000461513610087222	0.000595592614651578
mprestamos_personales_rank_delta2	0.00235336405352936	0.00646141438194087	0.00263762443631413
mpayroll_rank_ratiomax6	0.00229294227215788	0.00299615991757965	0.00110610057006722
cdescubierto_preacordado_min6	0.00224872510489174	0.000686096265476564	0.000595592614651578
mcuentas_saldo_rank_ratiomax6	0.00224624118732057	0.00112645840993547	0.00323321705096571
ccomisiones_mantenimiento_tend6	0.00221257179675505	0.00436078781811604	0.00187186250319067
mcaja_ahorro_rank_ratioavg6	0.00221140026968794	0.000912815784425721	0.00314813239172977
vm_mpagospesos_rank	0.00212526395646764	0.00140942050390451	0.00110610057006722
rf_018_040	0.00206413574154215	0.00142827056080815	0.000340338636943759
mpayroll_rank	0.00183148118243343	0.00307535431951359	0.00102101591083128
rf_032_048	0.00174431906107307	0.00135320831785651	0.000425423296179699
cdescubierto_preacordado_delta3	0.00167713313504288	0.00310304163768108	0.00102101591083128
mcomisiones_mantenimiento_rank_lag1	0.00166368399226818	0.00262369637184567	0.000935931251595337
mactivos_margen_rank	0.00164024417907589	0.00208360948076212	0.00348847102867353
mcomisiones_otras_rank_lag3	0.00161049970792035	0.000803648961877217	0.00221220114013443
mcuentas_saldo_rank_tend6	0.0016021170024756	0.00101449209600111	0.00229728579937037
Visa_Finiciomora	0.00156970752286393	0.00295062611977525	0.00102101591083128
vm_status04_ratiomax6	0.00154893677135289	2.37945649881157e-05	8.50846592359398e-05
mcomisiones_mantenimiento_rank	0.00154757713142553	0.000847194876203504	0.000935931251595337
vm_mpagominimo_rank	0.0015328185652538	0.00127150497275575	0.00144643920701098
ccomisiones_mantenimiento_delta2	0.00153039229574186	0.000625376876061512	0.000595592614651578
rf_029_031	0.00149567816062485	0.000994388679305703	0.000765761933123458
Visa_mpagominimo_rank	0.00144702539346314	0.0014785561561436	0.00246745511784225
vm_status01	0.00141768919795989	0.000474249554085939	0.000255253977707819
cproductos_delta2	0.00140790592433891	0.00097148577122444	0.000680677273887518
ctrx_quarter_normalizado_ratioavg6	0.00127787214295943	0.00166383178818778	0.00221220114013443
mcuentas_saldo_rank_min6	0.00127360992020996	0.00326185959312757	0.00229728579937037
vm_Finiciomora	0.00124026426965293	0.00250511193278971	0.000935931251595337
mcaja_ahorro_rank_ratiomax6	0.00123806736741417	0.000731383986728125	0.00187186250319067
mprestamos_personales_rank_delta1	0.00120454044152929	0.00286989373938601	0.00153152386624692
ctarjeta_visa_transacciones	0.00118437091635712	0.00118874023722221	0.00119118522930316
rf_031_043	0.00116072577878342	0.000970742353204845	0.000255253977707819
mpasivos_margen_rank_ratiomax6	0.00113051563819285	0.000965465790012919	0.00178677784395473
cdescubierto_preacordado_delta2	0.00110448030386598	0.000697624062544133	0.000340338636943759
ctrx_quarter_normalizado_ratiomax6	0.00107047216194043	0.000825495667886771	0.00212711648089849
Visa_fechaalta_tend6	0.00102437596683122	0.000134463788658973	0.000850846592359398
mcuentas_saldo_rank_ratioavg6	0.00102357196277854	0.00154710700597245	0.00280779375478601
cpayroll_trx_min6	0.000985894467618104	0.00262611414809684	0.000680677273887518
mrentabilidad_annual_rank_lag3	0.000978697395630523	0.00184655474659338	0.00331830171020165
mcuentas_saldo_rank_delta2	0.00097052990177459	0.00184259306233143	0.00289287841402195
mpayroll_rank_ratioavg6	0.000938057548906204	0.00347470617581275	0.00136135454777504
rf_038_038	0.00093068937141891	0.0016150426644192	0.000340338636943759
mrentabilidad_annual_rank_delta3	0.00091367544980869	0.000741745884947415	0.00374372500638135
Master_Fvencimiento_max6	0.00091215352190236	0.00249856940950061	0.00221220114013443
rf_008_038	0.000891782874689202	3.3977094153824e-05	0.000255253977707819
mcomisiones_otras_rank_avg6	0.000878097748933351	0.00066429551352206	0.00144643920701098
rf_010_042	0.00087437360280708	0.000354949862398958	0.000510507955415639
ccaja_ahorro	0.000846047164803869	0.00501354812262617	0.00144643920701098
vm_status01_max6	0.0008431350127227	0.000391624163106429	0.000510507955415639
mcomisiones_otras_rank_min6	0.000835997192502758	0.00065385578988696	0.00195694716242661
mtransferencias_recibidas_rank	0.000810825309735716	0.00112508868261721	0.00119118522930316
mrentabilidad_annual_rank_lag2	0.000807216535312526	0.00157092380679366	0.00255253977707819
cpayroll_trx_lag1	0.000804103357725073	0.000472898356628588	0.000255253977707819
mactivos_margen_rank_delta3	0.000793600831563244	0.00308263951962785	0.00348847102867353
ctarjeta_visa_transacciones_ratiomax6	0.000791437121652052	0.00292229692722593	0.00229728579937037
mcuenta_corriente_rank_min6	0.000776026536278413	0.00114394541027078	0.00289287841402195
ccaja_ahorro_delta3	0.000774067498009732	0.00140055804202982	0.000340338636943759
ctrx_quarter_delta1	0.000768455872529942	0.000522439792749999	0.0017016931847188
