Feature	Gain	Cover	Frequency
azar_sampling	0.528725079180846	0.0152456827418892	0.0241020793950851
ctrx_quarter_normalizado	0.232792547167086	0.0131458980790923	0.0103969754253308
azar_under	0.0296183358387028	0.0122025933890019	0.0155954631379962
mcaja_ahorro_rank	0.0119339125911194	0.00850208227914784	0.00756143667296786
mcuenta_corriente_rank	0.0110687693419085	0.00169276111740652	0.00425330812854442
vm_status04_delta2	0.0108948485024245	0.00223557960800175	0.000945179584120983
cpayroll_trx	0.00666629137596124	0.00388686260047057	0.00236294896030246
cdescubierto_preacordado_tend6	0.00648360468787562	0.00147832934767659	0.000472589792060492
mprestamos_personales_rank_ratioavg6	0.0056890802101538	0.00664944823024302	0.00472589792060492
ccomisiones_mantenimiento_ratioavg6	0.00522756194782536	0.00544225515302778	0.00472589792060492
ctrx_quarter	0.00506227319372835	0.0117307262769899	0.0127599243856333
ctarjeta_visa_transacciones_ratiomax6	0.0048593032296003	0.00293269511763089	0.00236294896030246
ctarjeta_visa_transacciones_ratioavg6	0.00296460272443525	0.00377949718159603	0.00425330812854442
ctrx_quarter_ratiomax6	0.00288811011219467	0.00228777400243097	0.00236294896030246
cpayroll_trx_min6	0.00287676905635795	0.00303841465881615	0.00141776937618147
foto_mes	0.00221825114699388	0.00574132317217691	0.00803402646502836
rf_034_032	0.00215183438037323	0.000167307481450843	0.000472589792060492
vm_status06_max6	0.00207109736522114	0.000183499305011085	0.000472589792060492
mpayroll_rank_ratiomax6	0.00200257098648155	0.00147832934767659	0.000472589792060492
mcuentas_saldo_rank	0.00188072616963681	0.00109223855645881	0.00236294896030246
vm_mpagominimo_rank	0.00170750779193664	0.00436607996138273	0.00378071833648393
mpayroll_sobre_edad_rank	0.00169334844247973	0.00573693751028536	0.00236294896030246
cproductos_delta2	0.00157990288324171	0.000190092851607762	0.000472589792060492
cdescubierto_preacordado_delta3	0.00150542349623674	0.0016884537350636	0.000945179584120983
Visa_mpagospesos_rank	0.00140477272274973	0.00117061645632293	0.00425330812854442
vm_Finiciomora	0.00133929964140498	0.00685019713630489	0.00330812854442344
ctrx_quarter_delta1	0.00127393947483035	0.000569158555127412	0.000945179584120983
ctrx_quarter_max6	0.00122514362602134	0.00249383989629638	0.00378071833648393
ccaja_ahorro	0.00119947893193737	0.00418377291411242	0.00236294896030246
cprestamos_personales_ratioavg6	0.00119100586097202	0.00285587277289992	0.00189035916824197
mprestamos_personales_rank_lag2	0.00118674576188716	0.000945426266575291	0.000945179584120983
mcuentas_saldo_rank_tend6	0.00109702832573779	0.0009923939957571	0.000945179584120983
mprestamos_personales_rank_min6	0.00107452707788803	0.000893516889989822	0.000945179584120983
mcuentas_saldo_rank_ratioavg6	0.0010556675453474	0.00231374073373119	0.00378071833648393
mpayroll_rank_ratioavg6	0.00102565288360751	0.00547623851297552	0.00283553875236295
rf_018_040	0.00101230689549183	0.00147832934767659	0.000472589792060492
vm_msaldopesos_rank	0.000943509860517318	0.00190791346041748	0.00330812854442344
vm_status04	0.000905958174138544	0.000854166363040704	0.000945179584120983
mcomisiones_otras_rank_lag3	0.000888716858559836	0.00103290265859245	0.00189035916824197
mactivos_margen_rank	0.000871988823806841	0.00221771581356935	0.00378071833648393
rf_022_046	0.000866309311449148	0.00147832934767659	0.000472589792060492
vmr_mpagominimo_delta2	0.000849384910120855	0.00082079318213874	0.000945179584120983
mtarjeta_visa_consumo_rank	0.000809035880112964	0.00108846708794887	0.00141776937618147
mprestamos_personales_rank_ratiomax6	0.000807417133659061	0.00412895314405201	0.00236294896030246
ctrx_quarter_normalizado_min6	0.000804102286566099	0.000496667678754325	0.000945179584120983
mprestamos_personales_rank_delta2	0.000803477880121264	0.00650016712382559	0.00472589792060492
vm_msaldototal_rank	0.000792239233836983	7.97146736946822e-05	0.000472589792060492
rf_031_043	0.000778865339801291	0.0030304100731761	0.00141776937618147
ctrx_quarter_normalizado_delta1	0.000770712502686796	0.0018762604224176	0.00236294896030246
ccaja_seguridad_lag2	0.000764484530926344	0.000361484919763091	0.000472589792060492
mcuentas_saldo_rank_delta2	0.000755613615641205	0.0011778081389579	0.00236294896030246
cdescubierto_preacordado_min6	0.00075444865107126	0.000330821415544694	0.000472589792060492
ccallcenter_transacciones_ratioavg6	0.000750191114824312	0.00308088231753533	0.00330812854442344
ctarjeta_visa_transacciones_delta3	0.000747206941520046	0.000751270907110094	0.000472589792060492
mpayroll_rank	0.000710349173729019	0.00200864719650498	0.00141776937618147
mcomisiones_rank_lag3	0.000708147217240887	0.000754903881033986	0.00283553875236295
mcuentas_saldo_rank_min6	0.000702914603371354	0.00530860185598682	0.00425330812854442
ccaja_seguridad_min6	0.000675751848321572	0.00065753616553785	0.000472589792060492
vmr_mpagominimo_delta3	0.000657934273802037	0.00306663945401934	0.00189035916824197
ctarjeta_debito_transacciones_ratioavg6	0.000639321494197234	0.00144242111369956	0.00236294896030246
mprestamos_personales_rank_delta3	0.00063385100544926	0.000919911148055668	0.000945179584120983
mpasivos_margen_rank	0.000631519930285622	0.000635477390165709	0.00189035916824197
vm_mpagominimo_rank_lag1	0.000626156125710307	0.00215520859039927	0.00189035916824197
ccomisiones_mantenimiento_tend6	0.000597454467487661	0.00417106754121836	0.00189035916824197
mrentabilidad_rank_delta2	0.000594438334869258	0.00211800774028578	0.00330812854442344
vm_fultimo_cierre_tend6	0.000534713123539163	0.00140471847160763	0.00141776937618147
mprestamos_personales_rank_delta1	0.000531402626017342	0.0070553577974412	0.00330812854442344
mpasivos_margen_rank_max6	0.00051528453459936	0.00188474873552486	0.00330812854442344
cdescubierto_preacordado	0.000489937859687426	0.000573198984137796	0.000472589792060492
mpayroll_rank_avg6	0.000471539618629403	0.000601564281094947	0.000945179584120983
vm_mpagospesos_rank	0.000463643892184345	0.000893410510090394	0.00189035916824197
mrentabilidad_annual_rank_lag1	0.000443838239671806	0.000673782182631763	0.00236294896030246
tcallcenter_ratioavg6	0.000439038184486965	0.000866903850621377	0.000945179584120983
Visa_Finiciomora	0.000437261477759922	0.00204765048340502	0.000945179584120983
ctrx_quarter_normalizado_lag1	0.000436534052484202	0.000836894683142863	0.00141776937618147
mrentabilidad_annual_rank_lag2	0.000410290916211624	0.000669167703598046	0.00283553875236295
mrentabilidad_annual_rank_lag3	0.000394962431528728	0.00210882093274454	0.00283553875236295
cplazo_fijo_ratioavg6	0.000390955508189992	0.00307876876972214	0.00141776937618147
mttarjeta_visa_debitos_automaticos_rank_tend6	0.000382867779247407	0.00277872727413485	0.00236294896030246
mcomisiones_otras_rank_avg6	0.000371911980811439	0.000571296188955558	0.00141776937618147
vmr_mpagominimo_max6	0.000370821412283076	0.00442097198948804	0.00330812854442344
vm_status02_delta3	0.000370658083348057	0.000856823853358512	0.000472589792060492
mtarjeta_visa_consumo_rank_ratioavg6	0.000367112566336077	0.0010220659590261	0.00141776937618147
Master_fechaalta_tend6	0.000364988940812835	0.000132864480050849	0.000945179584120983
mcuenta_corriente_rank_min6	0.000360917913886297	0.000793218709339608	0.00283553875236295
vm_Finiciomora_lag1	0.000355951146095057	0.00109303941645639	0.000472589792060492
mprestamos_personales_rank	0.000354387773864529	0.00346276608480588	0.00236294896030246
thomebanking_ratiomax6	0.000352884405890024	9.91380375960655e-05	0.000472589792060492
mrentabilidad_rank	0.000349065726622834	0.00145673824242835	0.00425330812854442
ccaja_seguridad_ratiomax6	0.000337830044526557	0.000852713173471147	0.000472589792060492
ctrx_quarter_normalizado_ratioavg6	0.000332800494459704	0.00174689242887251	0.00141776937618147
mcuentas_saldo_rank_ratiomax6	0.00032909266518567	0.00106222336747655	0.00283553875236295
rf_032_048	0.0003263720120634	8.71351734718253e-05	0.000472589792060492
mrentabilidad_rank_ratiomax6	0.000323690364850648	0.00221699524028832	0.00330812854442344
mcomisiones_mantenimiento_rank_tend6	0.000322923382413481	0.000356994885140027	0.00189035916824197
mrentabilidad_annual_rank_avg6	0.000322430937943575	0.00102338065400961	0.00189035916824197
mcuenta_corriente_rank_lag1	0.000308827200866758	0.00210538064694037	0.00283553875236295
vm_mpagominimo_rank_lag3	0.000298169634559911	0.0003245610588217	0.000472589792060492
mcuenta_corriente_rank_avg6	0.000293509633631605	0.000633219326262738	0.00189035916824197
cliente_edad	0.000291956633641319	0.00342252236813514	0.00236294896030246
ccajas_consultas_ratioavg6	0.000291725806567146	0.00348793998478017	0.00141776937618147
mrentabilidad_rank_delta1	0.000291543832986292	0.000812650101912646	0.00236294896030246
vm_Finiciomora_max6	0.000284344289372101	0.00164203596989016	0.000945179584120983
ccomisiones_mantenimiento_delta1	0.00028258893398622	0.000549367879497812	0.000945179584120983
ctarjeta_visa_debitos_automaticos_ratioavg6	0.000280535322293502	0.000495138216804046	0.00141776937618147
mactivos_margen_rank_delta3	0.000279352809537151	0.00380405287385288	0.00330812854442344
vm_cconsumos_lag2	0.000278776847982233	0.00233852725029812	0.00236294896030246
mcuenta_corriente_rank_delta3	0.000276899106205917	0.00232741155439176	0.00330812854442344
ctrx_quarter_avg6	0.000276337693591713	0.000876174959215	0.00236294896030246
rf_012_030	0.000269919965443567	0.00040715802564053	0.000945179584120983
chomebanking_transacciones	0.000265858754669799	0.00056784185297599	0.00189035916824197
ctrx_quarter_tend6	0.000263352676360884	0.00274250592196327	0.00283553875236295
mpayroll_rank_delta3	0.000263019935377455	0.000681210711080561	0.000472589792060492
mactivos_margen_rank_delta1	0.000262337525382611	0.00196490297899265	0.00330812854442344
ctransferencias_recibidas_avg6	0.000261750490433681	0.00196729953748167	0.00283553875236295
mrentabilidad_rank_lag2	0.000260902025466319	0.00139950786370353	0.00236294896030246
mactivos_margen_rank_min6	0.000260718847835199	0.00248230871663187	0.00283553875236295
rf_008_032	0.000259498615423831	0.000202157937937328	0.000945179584120983
ccaja_ahorro_ratioavg6	0.000257024543575599	0.00591331739070636	0.00189035916824197
mactivos_margen_rank_ratiomax6	0.000252897078606173	0.00301689179727698	0.00283553875236295
Visa_delinquency_ratioavg6	0.000252128280422521	0.000311111026631644	0.000472589792060492
mcaja_ahorro_rank_ratioavg6	0.000251781999918029	0.00146523056987144	0.00283553875236295
mcuentas_saldo_rank_delta3	0.000251267285353747	0.00292769325518982	0.00189035916824197
cproductos_tend6	0.000250409167433198	0.00266635597848341	0.00189035916824197
mcuenta_corriente_rank_ratioavg6	0.000248968185219761	0.000963199738451569	0.00283553875236295
mcaja_ahorro_dolares_rank_delta1	0.000241628256114324	0.00580138767199595	0.00236294896030246
cproductos_ratioavg6	0.00024144820949745	0.00226832454534671	0.00141776937618147
Visa_cconsumos_max6	0.000238995194022242	0.000376518607437098	0.00236294896030246
chomebanking_transacciones_avg6	0.000233027224586082	0.00144620863955281	0.00236294896030246
cmobile_app_trx_lag1	0.000232081236382722	0.00322684958972715	0.00283553875236295
mcaja_ahorro_dolares_rank	0.000231778793704328	0.00174743436420922	0.00236294896030246
chomebanking_transacciones_delta1	0.000230336305219173	0.00190207460895637	0.00189035916824197
mrentabilidad_rank_delta3	0.000226317342586664	0.00277007638042657	0.00283553875236295
cproductos_avg6	0.000225947984452075	0.000750223165459115	0.00236294896030246
mcuenta_corriente_rank_tend6	0.000224867441213727	0.00430616599915722	0.00330812854442344
mcuenta_debitos_automaticos_rank_min6	0.000221234209865206	0.00275516914433113	0.00189035916824197
mcomisiones_mantenimiento_rank_avg6	0.000220141954941138	0.00405677337870555	0.00283553875236295
Visa_fechaalta_min6	0.000220044625126871	0.000282789887368595	0.000472589792060492
mactivos_margen_rank_lag2	0.000219876556150595	0.00190651647154951	0.00283553875236295
vm_status05_ratioavg6	0.000219343674450372	0.00430145316889573	0.00141776937618147
thomebanking_ratioavg6	0.000218472386927819	0.00199206598236947	0.00189035916824197
mautoservicio_rank_ratioavg6	0.000216676311432341	0.00202249264077404	0.00236294896030246
vmr_msaldopesos_lag2	0.000214333246539248	0.00158737275892702	0.00189035916824197
vm_Finiciomora_ratiomax6	0.000213527086530778	0.00143597409036058	0.000472589792060492
mtransferencias_recibidas_rank_max6	0.000211868272765616	0.0016466103055656	0.00236294896030246
mactivos_margen_rank_avg6	0.000209372674287781	0.00291744666299011	0.00236294896030246
Visa_delinquency	0.000206136132773107	0.000162851568682312	0.000472589792060492
vm_cconsumos_lag3	0.000205653767993078	0.000491266389898417	0.000945179584120983
ctrx_quarter_ratioavg6	0.000205326234889715	0.000302008520142776	0.00141776937618147
Visa_fechaalta	0.000205040853216745	0.000139166987300032	0.000945179584120983
