Feature	Gain	Cover	Frequency
azar_sampling	0.25781807895614	0.0148464860555807	0.00680948784546331
azar_under	0.140273215222261	0.00869716084092738	0.00378850676343631
ctrx_quarter_normalizado	0.0737496598202708	0.00365046207858949	0.00136926581563419
ctrx_quarter	0.0289333032283995	0.00214205814702809	0.00140610704834184
mcaja_ahorro_rank	0.0222735505771142	0.00240197954699469	0.00324816868372416
cpayroll_trx	0.0134059955101313	0.00291703858296262	0.000939451434044983
rf_013_023	0.0131724895583508	0.000154443962770197	6.1402054512744e-05
mtarjeta_visa_consumo_rank	0.0117999787150384	0.00168558119558395	0.00164557506094154
mcuentas_saldo_rank	0.00851649057705111	0.00306803291396643	0.00278765327487858
ctarjeta_visa_transacciones	0.00734573741849369	0.00117788528350388	0.00128944314476762
mpayroll_sobre_edad_rank	0.00622316951176786	0.00493984983548303	0.00170697711545428
ctrx_quarter_min6	0.00510820678375099	0.00066153907900052	0.000804366914116946
mpayroll_rank	0.00467123591496809	0.00291217181637289	0.00111751739213194
vm_status06_delta2	0.00465276337897495	0.000224985143278942	6.1402054512744e-05
ctrx_quarter_normalizado_min6	0.00462032412629625	0.000813605914414967	0.000859628763178416
mprestamos_personales_rank_ratiomax6	0.00396402862437489	0.00298478643006608	0.0015350513628186
ccomisiones_mantenimiento_ratioavg6	0.00388594931663715	0.00175368020280735	0.00166399567729536
mprestamos_personales_rank_ratioavg6	0.00358414120407777	0.00530557773221845	0.00175609875906448
ctarjeta_visa_transacciones_ratioavg6	0.00343638573714839	0.00315846107123674	0.00325430888917543
mpasivos_margen_rank	0.00338181782803453	0.00108244720837021	0.00235783889328937
vm_status06_ratioavg6	0.00325140127397832	0.000546387315489155	0.000147364930830586
ctrx_quarter_ratioavg6	0.00321088130003183	0.00115833333095114	0.00221047396245878
rf_006_043	0.00313143994729857	0.000177066007857248	7.36824654152928e-05
ctrx_quarter_normalizado_ratioavg6	0.00288997967123371	0.00148151233695253	0.00230871724967917
foto_mes	0.0028310981634411	0.00223146446790436	0.0035490387508366
cproductos_ratioavg6	0.00281015572640007	0.00133169404389015	0.000828927735922044
ccomisiones_mantenimiento_tend6	0.00280357728830581	0.00306832110008309	0.00109909677577812
mcaja_ahorro_rank_min6	0.00261976427201478	0.000862774233056069	0.00219819355155623
ctarjeta_visa_transacciones_ratiomax6	0.00254616028014821	0.00218895657619737	0.00272625122036583
mcuentas_saldo_rank_lag1	0.00245300149713331	0.00122924519791583	0.00147364930830586
Visa_Finiciomora	0.00241188081403357	0.00330825952403489	0.000706123626896556
ctrx_quarter_normalizado_ratiomax6	0.00237302988381764	0.00111434959984149	0.00246836259141231
